,congress_number,state,census,start,end,cd_num,population,percent_white,percent_black,percent_aapi,percent_aind,percent_hisp,percent_white_nh,percent_black_nh,percent_aapi_nh
51,116,NY,2010,2019,2021,25,717707,75.41,15.7,3.38,0.29,7.44,72.04,14.91,3.34
52,116,NY,2010,2019,2021,26,717707,74.1,18.21,3.04,0.58,5.42,71.48,17.65,3.01
53,116,NY,2010,2019,2021,27,717707,94.02,2.41,0.92,0.77,2.19,92.7,2.28,0.91
54,117,NY,2010,2021,2023,1,717707,85.56,4.85,3.4,0.37,12.54,77.92,4.48,3.34
55,117,NY,2010,2021,2023,2,717708,77.16,9.77,2.99,0.35,20.47,66.06,8.93,2.92
56,117,NY,2010,2021,2023,3,717707,78.31,3.12,13.09,0.18,9.73,72.49,2.89,13.03
57,117,NY,2010,2021,2023,4,717708,69.62,14.53,5.55,0.28,17.95,61.06,13.77,5.48
58,117,NY,2010,2021,2023,5,717708,18.88,52.04,11.53,0.9,18.92,12.15,49.78,11.4
59,117,NY,2010,2021,2023,6,717707,48.11,4.12,37.48,0.3,18.15,38.55,3.54,37.28
60,117,NY,2010,2021,2023,7,717708,44.7,11.08,18.51,0.96,43.12,27.8,8.35,18.3
61,117,NY,2010,2021,2023,8,717708,28.22,56.02,4.64,0.57,18.02,22.39,52.55,4.55
62,117,NY,2010,2021,2023,9,717708,33.09,53.6,5.86,0.39,11.27,29.7,50.87,5.79
63,117,NY,2010,2021,2023,10,717707,71.43,4.37,16.65,0.25,12.16,65.31,3.69,16.54
64,117,NY,2010,2021,2023,11,717708,72.04,7.79,11.55,0.34,15.68,64.22,6.88,11.44
65,117,NY,2010,2021,2023,12,717707,74.26,5.29,12.54,0.28,13.33,67.02,4.62,12.44
66,117,NY,2010,2021,2023,13,717707,28.14,32.87,4.17,1.26,55.12,12.23,26.66,3.95
67,117,NY,2010,2021,2023,14,717708,45.01,11.69,15.99,0.9,47.52,24.93,9.45,15.79
68,117,NY,2010,2021,2023,15,717708,21.75,36.99,2.0,1.65,65.28,2.32,28.98,1.74
69,117,NY,2010,2021,2023,16,717707,49.53,32.8,4.66,0.55,23.28,39.32,30.39,4.57
70,117,NY,2010,2021,2023,17,717708,72.95,10.51,5.94,0.34,19.49,63.15,9.69,5.86
71,117,NY,2010,2021,2023,18,717707,79.63,9.22,2.92,0.37,14.82,71.79,8.36,2.86
72,117,NY,2010,2021,2023,19,717708,90.0,4.45,1.4,0.28,6.31,86.33,4.06,1.37
73,117,NY,2010,2021,2023,20,717708,82.06,9.22,3.7,0.26,5.25,79.59,8.59,3.66
74,117,NY,2010,2021,2023,21,717707,93.13,2.86,0.85,0.92,2.67,91.59,2.64,0.83
75,117,NY,2010,2021,2023,22,717708,90.87,3.85,2.17,0.3,3.13,89.23,3.57,2.15
76,117,NY,2010,2021,2023,23,717707,91.73,2.81,1.93,0.62,3.17,89.99,2.61,1.91
77,117,NY,2010,2021,2023,24,717707,85.5,8.1,2.25,0.65,3.66,83.71,7.69,2.23
78,117,NY,2010,2021,2023,25,717707,75.41,15.7,3.38,0.29,7.44,72.04,14.91,3.34
79,117,NY,2010,2021,2023,26,717707,74.1,18.21,3.04,0.58,5.42,71.48,17.65,3.01
80,117,NY,2010,2021,2023,27,717707,94.02,2.41,0.92,0.77,2.19,92.7,2.28,0.91
81,118,NY,2020,2023,2025,1,776971,74.35,4.59,5.23,0.49,15.5,71.58,4.31,5.18
82,118,NY,2020,2023,2025,2,776971,60.27,10.33,3.36,0.71,27.69,55.81,9.69,3.29
83,118,NY,2020,2023,2025,3,776971,58.12,3.63,23.53,0.34,14.01,55.73,3.43,23.42
84,118,NY,2020,2023,2025,4,776971,53.66,16.98,7.13,0.54,22.08,50.68,16.34,7.04
85,118,NY,2020,2023,2025,5,776971,14.88,41.74,15.13,1.48,20.57,12.78,40.2,14.98
86,118,NY,2020,2023,2025,6,776971,26.97,4.0,45.61,0.81,23.59,24.22,3.59,45.38
87,118,NY,2020,2023,2025,7,776971,40.32,11.66,13.42,1.13,35.3,36.23,10.11,13.21
88,118,NY,2020,2023,2025,8,776972,29.51,44.21,8.64,0.57,16.77,27.57,41.84,8.52
89,118,NY,2020,2023,2025,9,776972,33.55,41.79,9.24,0.51,11.36,32.43,40.37,9.15
90,118,NY,2020,2023,2025,10,776971,51.65,6.48,21.75,0.73,19.18,48.6,5.59,21.6
91,118,NY,2020,2023,2025,11,776971,54.46,7.29,20.8,0.82,18.28,51.44,6.52,20.65
92,118,NY,2020,2023,2025,12,776971,67.8,5.29,14.36,0.24,11.22,65.19,4.67,14.16
93,118,NY,2020,2023,2025,13,776971,19.73,27.37,5.3,1.35,52.31,15.42,23.39,5.08
94,118,NY,2020,2023,2025,14,776972,23.03,18.51,11.68,1.84,51.31,17.7,15.9,11.49
95,118,NY,2020,2023,2025,15,776971,14.3,34.7,3.44,1.45,54.69,9.29,29.79,3.25
96,118,NY,2020,2023,2025,16,776971,43.11,21.86,6.79,0.86,28.86,39.62,20.47,6.68
97,118,NY,2020,2023,2025,17,776971,67.48,7.61,5.11,0.47,19.9,64.41,7.08,5.03
98,118,NY,2020,2023,2025,18,776971,66.32,10.82,3.13,0.6,18.26,62.83,9.94,3.05
99,118,NY,2020,2023,2025,19,776971,81.95,4.51,3.55,0.32,6.61,80.21,4.12,3.51
